P&ID_Filename,Instrument_Tag,Instrument_Type,Description_x,Location,X_Coordinate,Y_Coordinate,Radius,Source_PID_File,Description_y
P11671-11-71-08-1708-01.pdf,ELL-),ELL,,Field,7280,1506,67,P11671-11-71-08-1708-01.pdf,
P11671-11-71-08-1708-01.pdf,HSD-573P-01,HSD,PUSH BUTTON,Field,1634,1834,75,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HSD-573P-01,HSD,PUSH BUTTON,Field,1634,1834,75,P11671-11-71-08-1708-01.pdf,FLOW-RATIO CONTROLLER
P11671-11-71-08-1708-01.pdf,HSD-573P-02,HSD,PUSH BUTTON,Field,1814,1834,75,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HSD-573P-02,HSD,PUSH BUTTON,Field,1814,1834,75,P11671-11-71-08-1708-01.pdf,FLOW-RATIO CONTROLLER
P11671-11-71-08-1708-01.pdf,HSD-573P-03,HSD,PUSH BUTTON,Field,1994,1834,75,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HSD-573P-03,HSD,PUSH BUTTON,Field,1994,1834,75,P11671-11-71-08-1708-01.pdf,FLOW-RATIO CONTROLLER
P11671-11-71-08-1708-01.pdf,HSD-573P-04,HSD,PUSH BUTTON,Field,2172,1834,76,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HSD-573P-04,HSD,PUSH BUTTON,Field,2172,1834,76,P11671-11-71-08-1708-01.pdf,FLOW-RATIO CONTROLLER
P11671-11-71-08-1708-01.pdf,HSD-573P-05,HSD,PUSH BUTTON,Field,2354,1834,75,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HSD-573P-05,HSD,PUSH BUTTON,Field,2354,1834,75,P11671-11-71-08-1708-01.pdf,FLOW-RATIO CONTROLLER
P11671-11-71-08-1708-01.pdf,XFD-573P-01,XFD,FLAME DETECTOR,Field,5770,1834,76,P11671-11-71-08-1708-01.pdf,FLAME DETECTOR
P11671-11-71-08-1708-01.pdf,XFD-573P-01,XFD,FLAME DETECTOR,Field,5770,1834,76,P11671-11-71-08-1708-01.pdf,DCS INDICATION
P11671-11-71-08-1708-01.pdf,XFD-573P-02,XFD,FLAME DETECTOR,Field,5954,1834,76,P11671-11-71-08-1708-01.pdf,FLAME DETECTOR
P11671-11-71-08-1708-01.pdf,XFD-573P-02,XFD,FLAME DETECTOR,Field,5954,1834,76,P11671-11-71-08-1708-01.pdf,DCS INDICATION
P11671-11-71-08-1708-01.pdf,XFD-573P-03,XFD,FLAME DETECTOR,Field,6134,1834,74,P11671-11-71-08-1708-01.pdf,FLAME DETECTOR
P11671-11-71-08-1708-01.pdf,XFD-573P-03,XFD,FLAME DETECTOR,Field,6134,1834,74,P11671-11-71-08-1708-01.pdf,DCS INDICATION
P11671-11-71-08-1708-01.pdf,XFD-573P-04,XFD,FLAME DETECTOR,Field,6314,1834,76,P11671-11-71-08-1708-01.pdf,FLAME DETECTOR
P11671-11-71-08-1708-01.pdf,XFD-573P-04,XFD,FLAME DETECTOR,Field,6314,1834,76,P11671-11-71-08-1708-01.pdf,DCS INDICATION
P11671-11-71-08-1708-01.pdf,XFD-573P-05,XFD,FLAME DETECTOR,Field,6492,1834,76,P11671-11-71-08-1708-01.pdf,FLAME DETECTOR
P11671-11-71-08-1708-01.pdf,XFD-573P-05,XFD,FLAME DETECTOR,Field,6492,1834,76,P11671-11-71-08-1708-01.pdf,DCS INDICATION
P11671-11-71-08-1708-01.pdf,XTGD-573P-01,XTGD,TOXIC GAS DETECTOR,Field,6750,1834,76,P11671-11-71-08-1708-01.pdf,TOXIC GAS DETECTOR
P11671-11-71-08-1708-01.pdf,XTGD-573P-01,XTGD,TOXIC GAS DETECTOR,Field,6750,1834,76,P11671-11-71-08-1708-01.pdf,PUMP START COMMAND
P11671-11-71-08-1708-01.pdf,XTGD-573P-02,XTGD,TOXIC GAS DETECTOR,Field,6928,1834,76,P11671-11-71-08-1708-01.pdf,TOXIC GAS DETECTOR
P11671-11-71-08-1708-01.pdf,XTGD-573P-02,XTGD,TOXIC GAS DETECTOR,Field,6928,1834,76,P11671-11-71-08-1708-01.pdf,PUMP START COMMAND
P11671-11-71-08-1708-01.pdf,XTGD-573P-03-00,XTGD,TOXIC GAS DETECTOR,Field,7104,1834,76,P11671-11-71-08-1708-01.pdf,TOXIC GAS DETECTOR
P11671-11-71-08-1708-01.pdf,XTGD-573P-03-00,XTGD,TOXIC GAS DETECTOR,Field,7104,1834,76,P11671-11-71-08-1708-01.pdf,PUMP START COMMAND
P11671-11-71-08-1708-01.pdf,XTGD-573P-04,XTGD,TOXIC GAS DETECTOR,Field,7292,1834,76,P11671-11-71-08-1708-01.pdf,TOXIC GAS DETECTOR
P11671-11-71-08-1708-01.pdf,XTGD-573P-04,XTGD,TOXIC GAS DETECTOR,Field,7292,1834,76,P11671-11-71-08-1708-01.pdf,PUMP START COMMAND
P11671-11-71-08-1708-01.pdf,XTGD-573P-05,XTGD,TOXIC GAS DETECTOR,Field,7480,1834,76,P11671-11-71-08-1708-01.pdf,TOXIC GAS DETECTOR
P11671-11-71-08-1708-01.pdf,XTGD-573P-05,XTGD,TOXIC GAS DETECTOR,Field,7480,1834,76,P11671-11-71-08-1708-01.pdf,PUMP START COMMAND
P11671-11-71-08-1708-01.pdf,XTGD-573P-06-90,XTGD,TOXIC GAS DETECTOR,Field,7666,1834,76,P11671-11-71-08-1708-01.pdf,TOXIC GAS DETECTOR
P11671-11-71-08-1708-01.pdf,XTGD-573P-06-90,XTGD,TOXIC GAS DETECTOR,Field,7666,1834,76,P11671-11-71-08-1708-01.pdf,PUMP START COMMAND
P11671-11-71-08-1708-01.pdf,XFAB-573P-01.,XFAB,FIRE ALARM BEACON,Field,3860,1854,76,P11671-11-71-08-1708-01.pdf,FIRE ALARM BEACON
P11671-11-71-08-1708-01.pdf,XFAB-573P-01.,XFAB,FIRE ALARM BEACON,Field,3860,1854,76,P11671-11-71-08-1708-01.pdf,DCS CONTROLLER
P11671-11-71-08-1708-01.pdf,XGAB-573P-.01.,XGAB,GAS ALARM BEACON,Field,4166,1854,76,P11671-11-71-08-1708-01.pdf,GAS ALARM BEACON
P11671-11-71-08-1708-01.pdf,XGAB-573P-.01.,XGAB,GAS ALARM BEACON,Field,4166,1854,76,P11671-11-71-08-1708-01.pdf,HAND SWITCH
P11671-11-71-08-1708-01.pdf,HS-573P-50-50,HS,PUSH BUTTON,Field,3594,2140,76,P11671-11-71-08-1708-01.pdf,PUSH BUTTON
P11671-11-71-08-1708-01.pdf,HS-573P-50-50,HS,PUSH BUTTON,Field,3594,2140,76,P11671-11-71-08-1708-01.pdf,VENTURI TUBE
P11671-11-71-08-1708-01.pdf,"THESIGN-ANCEFLAI-NCES,THI-EBUBBLE",THESIGN,,Field,8632,2272,82,P11671-11-71-08-1708-01.pdf,
P11671-11-71-08-1708-01.pdf,SVHO-573P-03,SVHO,HAND SWITCH TO OPEN,Field,3802,2358,73,P11671-11-71-08-1708-01.pdf,HAND SWITCH TO OPEN
P11671-11-71-08-1708-01.pdf,SZIL-573P-02,SZIL,VALVE STATUS CLOSED LAMP,Field,1724,2364,73,P11671-11-71-08-1708-01.pdf,VALVE STATUS CLOSED LAMP
P11671-11-71-08-1708-01.pdf,SVZA-573P-02,SVZA,DISCREPANCY ALARM,Field,1874,2364,73,P11671-11-71-08-1708-01.pdf,DISCREPANCY ALARM
P11671-11-71-08-1708-01.pdf,SZIH-573P-02,SZIH,VALVE STATUS OPENED LAMP,Field,2024,2364,73,P11671-11-71-08-1708-01.pdf,VALVE STATUS OPENED LAMP
P11671-11-71-08-1708-01.pdf,SVHC-573P-02,SVHC,HAND SWICH TO CLOSE,Field,2210,2364,75,P11671-11-71-08-1708-01.pdf,HAND SWICH TO CLOSE
P11671-11-71-08-1708-01.pdf,SVHO-573P-02,SVHO,HAND SWITCH TO OPEN,Field,2400,2364,76,P11671-11-71-08-1708-01.pdf,HAND SWITCH TO OPEN
P11671-11-71-08-1708-01.pdf,SVHC-573P-03,SVHC,HAND SWICH TO CLOSE,Field,3800,2538,75,P11671-11-71-08-1708-01.pdf,HAND SWICH TO CLOSE
P11671-11-71-08-1708-01.pdf,SZSH-573P-03,SZSH,VALVE OPEN LIMIT SWITCH,Field,3118,3076,75,P11671-11-71-08-1708-01.pdf,VALVE OPEN LIMIT SWITCH
P11671-11-71-08-1708-01.pdf,PIT-573P-33-03,PIT,PRESSURE IND. TRANSMITTER,Field,4354,3198,76,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-33-03,PIT,PRESSURE IND. TRANSMITTER,Field,4354,3198,76,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,TIT-573P-01,TIT,TEMPERATURE IND. TRANSMITTER,Field,4582,3240,76,P11671-11-71-08-1708-01.pdf,TEMPERATURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,TIT-573P-01,TIT,TEMPERATURE IND. TRANSMITTER,Field,4582,3240,76,P11671-11-71-08-1708-01.pdf,VIRTUAL FIELD DEVICE
P11671-11-71-08-1708-01.pdf,SZSL-573P-33-03,SZSL,VALVE CLOSE LIMIT SWITCH,Field,3012,3256,75,P11671-11-71-08-1708-01.pdf,VALVE CLOSE LIMIT SWITCH
P11671-11-71-08-1708-01.pdf,PIT-573P-02,PIT,PRESSURE IND. TRANSMITTER,Field,4020,3280,76,P11671-11-71-08-1708-01.pdf,PRESSURE IND. TRANSMITTER
P11671-11-71-08-1708-01.pdf,PIT-573P-02,PIT,PRESSURE IND. TRANSMITTER,Field,4020,3280,76,P11671-11-71-08-1708-01.pdf,PUMP STOP COMMAND FROM ICSS
P11671-11-71-08-1708-01.pdf,TW-573P-01,TW,THERMOWELL,Field,4762,3280,76,P11671-11-71-08-1708-01.pdf,THERMOWELL
P11671-11-71-08-1708-01.pdf,TW-573P-01,TW,THERMOWELL,Field,4762,3280,76,P11671-11-71-08-1708-01.pdf,ALARM INDICATION
P11671-11-71-08-1708-01.pdf,TE-573P-01,TE,TEMPERATURE ELEMENT,Field,4440,3344,75,P11671-11-71-08-1708-01.pdf,TEMPERATURE ELEMENT
P11671-11-71-08-1708-01.pdf,TE-573P-01,TE,TEMPERATURE ELEMENT,Field,4440,3344,75,P11671-11-71-08-1708-01.pdf,HAND SWITCH TO TRIP FROM CONSOLE
P11671-11-71-08-1708-01.pdf,PI-573P-95-05,PI,PRESSURE INDICATION,Field,4190,3368,75,P11671-11-71-08-1708-01.pdf,PRESSURE INDICATION
P11671-11-71-08-1708-01.pdf,PI-573P-95-05,PI,PRESSURE INDICATION,Field,4190,3368,75,P11671-11-71-08-1708-01.pdf,PUMP TRIP COMMAND
P11671-11-71-08-1708-01.pdf,CVZT-573P-02,CVZT,VALVE POSITION TRANSMITTER,Field,4894,3384,74,P11671-11-71-08-1708-01.pdf,VALVE POSITION TRANSMITTER
