Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
40,3802,2358,73,03,"[(55, 105), (91, 105), (91, 131), (55, 131)]"
41,4762,1052,74,CVZI,"[(37, 21), (105, 20), (105, 47), (37, 48)]"
41,4762,1052,74,573P,"[(36, 69), (109, 69), (109, 95), (36, 95)]"
41,4762,1052,74,02,"[(55, 105), (92, 105), (92, 132), (55, 132)]"
42,5912,1088,76,PSAL,"[(38, 22), (115, 23), (115, 50), (38, 49)]"
42,5912,1088,76,573P,"[(39, 71), (111, 72), (111, 98), (39, 97)]"
42,5912,1088,76,07,"[(58, 109), (94, 109), (94, 135), (58, 135)]"
43,3860,1854,76,XFAB,"[(31, 29), (120, 29), (120, 59), (31, 59)]"
43,3860,1854,76,573P,"[(36, 80), (116, 80), (116, 108), (36, 108)]"
43,3860,1854,76,01,"[(56, 118), (91, 118), (91, 147), (56, 147)]"
43,3860,1854,76,.,"[(97, 118), (102, 118), (102, 147), (97, 147)]"
44,4952,1052,73,TI,"[(57, 18), (86, 18), (86, 48), (57, 48)]"
44,4952,1052,73,573P,"[(35, 68), (107, 68), (107, 94), (35, 94)]"
44,4952,1052,73,01,"[(52, 105), (87, 105), (87, 131), (52, 131)]"
45,1994,1834,75,HSD,"[(43, 12), (108, 11), (108, 40), (43, 41)]"
45,1994,1834,75,573P,"[(38, 58), (110, 58), (110, 86), (38, 86)]"
45,1994,1834,75,03,"[(58, 98), (94, 98), (94, 127), (58, 127)]"
46,6378,1052,73,ХА,"[(50, 18), (96, 18), (96, 47), (50, 47)]"
46,6378,1052,73,573P,"[(35, 66), (107, 66), (107, 93), (35, 93)]"
46,6378,1052,73,03,"[(54, 104), (88, 104), (88, 131), (54, 131)]"
46,6378,1052,73,33,"[(55, 93), (85, 93), (86, 145), (56, 145)]"
47,2210,2364,75,SVHC,"[(34, 23), (119, 23), (119, 49), (34, 49)]"
47,2210,2364,75,573P,"[(39, 70), (112, 70), (112, 95), (39, 95)]"
47,2210,2364,75,02,"[(58, 108), (94, 108), (94, 134), (58, 134)]"
48,6756,4272,75,PI,"[(61, 12), (94, 12), (94, 38), (61, 38)]"
48,6756,4272,75,573P,"[(38, 57), (111, 57), (111, 83), (38, 83)]"
48,6756,4272,75,09,"[(57, 97), (92, 97), (92, 122), (57, 122)]"
49,4440,3344,75,TE,"[(54, 16), (94, 16), (94, 42), (54, 42)]"
49,4440,3344,75,573P,"[(35, 60), (108, 60), (108, 87), (35, 87)]"
49,4440,3344,75,01,"[(55, 101), (89, 101), (89, 127), (55, 127)]"
50,1814,1834,75,HSD,"[(45, 11), (107, 13), (106, 42), (44, 40)]"
50,1814,1834,75,573P,"[(40, 57), (108, 56), (108, 86), (40, 87)]"
50,1814,1834,75,02,"[(58, 96), (96, 98), (95, 126), (57, 124)]"
51,2354,1834,75,HSD,"[(45, 11), (107, 13), (106, 42), (44, 40)]"
51,2354,1834,75,573P,"[(37, 59), (110, 58), (110, 84), (37, 85)]"
51,2354,1834,75,05,"[(54, 100), (91, 95), (94, 122), (57, 127)]"
52,1238,1052,73,ХА,"[(51, 18), (96, 17), (96, 46), (51, 47)]"
52,1238,1052,73,573P,"[(36, 68), (108, 68), (108, 93), (36, 93)]"
52,1238,1052,73,30,"[(56, 104), (90, 104), (90, 130), (56, 130)]"
53,1894,1052,73,PI,"[(58, 20), (90, 20), (90, 47), (58, 47)]"
53,1894,1052,73,573P,"[(36, 67), (108, 67), (108, 93), (36, 93)]"
53,1894,1052,73,08,"[(54, 105), (91, 105), (91, 131), (54, 131)]"
53,1894,1052,73,80,"[(89, 93), (87, 145), (59, 145), (61, 92)]"
54,2378,1052,73,SY,"[(52, 19), (95, 20), (95, 47), (52, 46)]"
54,2378,1052,73,573P,"[(35, 68), (107, 68), (107, 94), (35, 94)]"
54,2378,1052,73,01,"[(54, 105), (87, 105), (87, 132), (54, 132)]"
55,3014,1052,73,SZIL,"[(40, 20), (104, 20), (104, 45), (40, 45)]"
55,3014,1052,73,573P,"[(36, 68), (108, 68), (108, 94), (36, 94)]"
55,3014,1052,73,.03,"[(51, 105), (95, 105), (95, 131), (51, 131)]"
56,1874,2364,73,SVZA,"[(33, 21), (114, 21), (114, 47), (33, 47)]"
56,1874,2364,73,573P,"[(35, 68), (109, 68), (109, 94), (35, 94)]"
56,1874,2364,73,02,"[(55, 106), (93, 106), (93, 132), (55, 132)]"
57,1724,2364,73,SZIL,"[(41, 21), (105, 21), (105, 46), (41, 46)]"
