Circle_ID,Circle_X,Circle_Y,Circle_Radius,Text,BoundingBox
41,1946,2980,44,EXTEND,"[(27, 34), (157, 34), (157, 61), (27, 61)]"
41,1946,2980,44,LOGY,"[(3, 66), (92, 66), (92, 94), (3, 94)]"
41,1946,2980,44,TO,"[(117, 66), (157, 66), (157, 94), (117, 94)]"
41,1946,2980,44,CATORS,"[(0, 100), (114, 101), (114, 129), (0, 128)]"
41,1946,2980,44,",","[(121, 101), (133, 101), (133, 128), (121, 128)]"
41,1946,2980,44,OWNS,"[(1, 134), (92, 134), (92, 157), (1, 157)]"
41,1946,2980,44,.,"[(98, 134), (105, 134), (105, 157), (98, 157)]"
42,2552,3000,30,JM,"[(0, 27), (39, 27), (39, 61), (0, 61)]"
42,2552,3000,30,07,"[(57, 27), (101, 27), (101, 61), (57, 61)]"
42,2552,3000,30,.,"[(99, 27), (106, 27), (106, 61), (99, 61)]"
43,1870,3014,21,ICAT,"[(0, 23), (73, 24), (73, 54), (0, 53)]"
44,458,3114,29,JAE,"[(17, 4), (103, 2), (103, 38), (18, 40)]"
44,458,3114,29,1JJM,"[(7, 45), (103, 44), (103, 82), (8, 83)]"
45,3692,734,29,IC,"[(0, 37), (31, 37), (31, 66), (0, 66)]"
45,3692,734,29,OIL,"[(48, 37), (103, 37), (103, 66), (48, 66)]"
45,3692,734,29,RESSUR,"[(0, 71), (103, 71), (103, 97), (0, 97)]"
46,4434,1064,28,GENE,"[(13, 16), (99, 16), (99, 41), (13, 41)]"
46,4434,1064,28,ARRAN,"[(0, 43), (99, 43), (99, 70), (0, 70)]"
46,4434,1064,28,MIRT,"[(13, 79), (99, 79), (99, 99), (13, 99)]"
47,2086,3082,25,DED,"[(2, 1), (72, 1), (72, 24), (2, 24)]"
47,2086,3082,25,IO,"[(89, 57), (50, 57), (50, 28), (89, 28)]"
47,2086,3082,25,O.,"[(28, 56), (1, 56), (1, 28), (28, 28)]"
47,2086,3082,25,SEJ,"[(5, 64), (71, 64), (71, 89), (5, 89)]"
48,476,3024,23,JAW,"[(0, 37), (81, 33), (81, 70), (0, 74)]"
49,2336,3064,22,PPRO,"[(0, 2), (77, 3), (77, 29), (0, 28)]"
50,4078,1582,29,UNS,"[(3, 8), (72, 8), (72, 33), (3, 33)]"
50,4078,1582,29,ILL.C,"[(8, 40), (103, 41), (103, 70), (8, 69)]"
50,4078,1582,29,E,"[(4, 75), (23, 75), (23, 102), (4, 102)]"
50,4078,1582,29,STA,"[(40, 75), (103, 75), (103, 102), (40, 102)]"
51,3174,2958,26,(,"[(1, 21), (12, 21), (12, 49), (1, 49)]"
51,3174,2958,26,PDI,"[(17, 21), (78, 21), (78, 49), (17, 49)]"
51,3174,2958,26,),"[(87, 21), (91, 21), (91, 49), (87, 49)]"
51,3174,2958,26,2,"[(0, 57), (17, 55), (19, 87), (0, 89)]"
51,3174,2958,26,WAS,"[(36, 53), (91, 48), (91, 81), (39, 86)]"
52,4006,2950,26,DRAW,"[(2, 25), (91, 26), (91, 53), (2, 52)]"
